Cross   Mat     Pat     MatMult Replicate       Norm
AlaNor  Alaska  Norway  0.5     Sample_33.tsv   0.959221
AlaNor  Alaska  Norway  0.5     Sample_34.tsv   1.067252
AlaNor  Alaska  Norway  0.5     Sample_35.tsv   1.014121
AlaNor  Alaska  Norway  0.5     Sample_36.tsv   0.966720
NorAla  Norway  Alaska  0.5     Sample_37.tsv   1.043821
NorAla  Norway  Alaska  0.5     Sample_38.tsv   1.078403
NorAla  Norway  Alaska  0.5     Sample_39.tsv   0.847466
NorAla  Norway  Alaska  0.5     Sample_40.tsv   1.069867
